pcdate pctime time date flags o3 hio3 cellai cellbi bncht lmpt o3lt flowa flowb pres
2025-05-19 04:01:29 04:01 05-19-25 0C105000 20.820 0.000 41856 41279 29.9 53.1 0.0 0.538 0.541 493.7
2025-05-19 04:02:01 04:02 05-19-25 0C105000 20.885 0.000 41858 41281 29.9 53.1 0.0 0.541 0.545 493.7
2025-05-19 04:03:01 04:03 05-19-25 0C105000 21.051 0.000 41856 41280 29.9 53.1 0.0 0.538 0.541 493.7
2025-05-19 04:04:01 04:04 05-19-25 0C105000 21.435 0.000 41859 41282 29.9 53.1 0.0 0.538 0.541 493.7
2025-05-19 04:05:00 04:04 05-19-25 0C105000 21.435 0.000 41859 41282 29.9 53.1 0.0 0.538 0.541 493.7
2025-05-19 04:06:01 04:06 05-19-25 0C105000 22.858 0.000 41856 41279 29.9 53.1 0.0 0.540 0.543 493.7
2025-05-19 04:07:01 04:07 05-19-25 0C105000 22.302 0.000 41853 41273 29.9 53.1 0.0 0.541 0.544 493.7
2025-05-19 04:08:01 04:08 05-19-25 0C105000 27.330 0.000 41849 41270 30.0 53.2 0.0 0.543 0.545 493.7
2025-05-19 04:09:01 04:09 05-19-25 0C105000 29.826 0.000 41852 41271 30.0 53.1 0.0 0.539 0.540 493.7
2025-05-19 04:10:00 04:09 05-19-25 0C105000 29.826 0.000 41852 41271 30.0 53.1 0.0 0.539 0.540 493.7
2025-05-19 04:11:01 04:11 05-19-25 0C105000 25.323 0.000 41848 41270 30.0 53.1 0.0 0.537 0.541 493.7
2025-05-19 04:12:00 04:11 05-19-25 0C105000 25.323 0.000 41848 41270 30.0 53.1 0.0 0.537 0.541 493.7
2025-05-19 04:13:01 04:13 05-19-25 0C105000 23.599 0.000 41845 41267 30.0 53.1 0.0 0.536 0.539 493.7
2025-05-19 04:14:01 04:14 05-19-25 0C105000 23.769 0.000 41851 41273 30.0 53.1 0.0 0.542 0.543 493.7
2025-05-19 04:15:00 04:14 05-19-25 0C105000 23.769 0.000 41851 41273 30.0 53.1 0.0 0.542 0.543 493.7
2025-05-19 04:16:01 04:16 05-19-25 0C105000 21.987 0.000 41849 41273 30.0 53.2 0.0 0.543 0.545 493.7
2025-05-19 04:17:00 04:16 05-19-25 0C105000 21.987 0.000 41849 41273 30.0 53.2 0.0 0.543 0.545 493.7
2025-05-19 04:18:01 04:18 05-19-25 0C105000 20.943 0.000 41845 41268 30.0 53.1 0.0 0.539 0.541 493.7
2025-05-19 04:19:01 04:19 05-19-25 0C105000 23.804 0.000 41847 41270 30.0 53.1 0.0 0.543 0.546 493.7
2025-05-19 04:20:00 04:19 05-19-25 0C105000 23.804 0.000 41847 41270 30.0 53.1 0.0 0.543 0.546 493.7
2025-05-19 04:21:01 04:21 05-19-25 0C105000 23.595 0.000 41845 41267 30.0 53.1 0.0 0.537 0.539 493.7
2025-05-19 04:22:00 04:21 05-19-25 0C105000 23.595 0.000 41845 41267 30.0 53.1 0.0 0.537 0.539 493.7
2025-05-19 04:23:01 04:23 05-19-25 0C105000 22.646 0.000 41849 41272 30.0 53.1 0.0 0.537 0.540 493.7
2025-05-19 04:24:00 04:23 05-19-25 0C105000 22.646 0.000 41849 41272 30.0 53.1 0.0 0.537 0.540 493.7
2025-05-19 04:25:01 04:25 05-19-25 0C105000 24.282 0.000 41848 41271 30.0 53.2 0.0 0.538 0.541 493.7
2025-05-19 04:26:01 04:26 05-19-25 0C105000 22.582 0.000 41844 41269 30.0 53.1 0.0 0.541 0.544 493.7
