pcdate pctime time date flags o3 hio3 cellai cellbi bncht lmpt o3lt flowa flowb pres
2025-05-19 17:01:28 17:01 05-19-25 0C105000 19.724 0.000 41837 41262 29.4 53.1 0.0 0.538 0.541 493.4
2025-05-19 17:02:01 17:01 05-19-25 0C105000 19.724 0.000 41837 41262 29.4 53.1 0.0 0.538 0.541 493.4
2025-05-19 17:03:01 17:03 05-19-25 0C105000 21.620 0.000 41831 41255 29.4 53.1 0.0 0.537 0.539 493.4
2025-05-19 17:04:00 17:03 05-19-25 0C105000 21.620 0.000 41831 41255 29.4 53.1 0.0 0.537 0.539 493.4
2025-05-19 17:05:01 17:05 05-19-25 0C105000 23.382 0.000 41830 41254 29.5 53.1 0.0 0.538 0.541 493.1
2025-05-19 17:06:01 17:06 05-19-25 0C105000 24.856 0.000 41828 41253 29.5 53.1 0.0 0.539 0.541 493.4
2025-05-19 17:07:01 17:06 05-19-25 0C105000 24.856 0.000 41828 41253 29.5 53.1 0.0 0.539 0.541 493.4
2025-05-19 17:08:01 17:08 05-19-25 0C105000 21.045 0.000 41826 41251 29.5 53.1 0.0 0.537 0.541 493.4
2025-05-19 17:09:00 17:08 05-19-25 0C105000 21.045 0.000 41826 41251 29.5 53.1 0.0 0.537 0.541 493.4
2025-05-19 17:10:01 17:09 05-19-25 0C105000 22.808 0.000 41826 41252 29.5 53.1 0.0 0.538 0.539 493.4
2025-05-19 17:11:00 17:10 05-19-25 0C105000 23.232 0.000 41827 41253 29.6 53.1 0.0 0.538 0.540 493.4
2025-05-19 17:12:01 17:11 05-19-25 0C105000 24.265 0.000 41822 41249 29.6 53.1 0.0 0.542 0.545 493.4
2025-05-19 17:13:00 17:12 05-19-25 0C105000 23.535 0.000 41820 41247 29.6 53.1 0.0 0.541 0.544 493.4
2025-05-19 17:14:01 17:13 05-19-25 0C105000 23.891 0.000 41821 41250 29.6 53.1 0.0 0.540 0.544 493.4
2025-05-19 17:15:01 17:15 05-19-25 0C105000 21.764 0.000 41820 41248 29.7 53.1 0.0 0.540 0.543 493.4
2025-05-19 17:16:00 17:15 05-19-25 0C105000 21.764 0.000 41820 41248 29.7 53.1 0.0 0.540 0.543 493.4
2025-05-19 17:17:01 17:16 05-19-25 0C105000 24.619 0.000 41819 41247 29.7 53.2 0.0 0.538 0.541 493.4
2025-05-19 17:18:00 17:17 05-19-25 0C105000 25.012 0.000 41814 41244 29.7 53.2 0.0 0.541 0.545 493.4
2025-05-19 17:19:01 17:18 05-19-25 0C105000 24.967 0.000 41814 41243 29.7 53.1 0.0 0.540 0.543 493.4
2025-05-19 17:20:01 17:20 05-19-25 0C105000 25.490 0.000 41819 41249 29.7 53.1 0.0 0.537 0.541 493.4
2025-05-19 17:21:01 17:20 05-19-25 0C105000 25.490 0.000 41819 41249 29.7 53.1 0.0 0.537 0.541 493.4
2025-05-19 17:22:01 17:22 05-19-25 0C105000 25.775 0.000 41824 41255 29.6 53.1 0.0 0.537 0.541 493.4
2025-05-19 17:23:00 17:22 05-19-25 0C105000 25.775 0.000 41824 41255 29.6 53.1 0.0 0.537 0.541 493.4
2025-05-19 17:24:01 17:23 05-19-25 0C105000 24.837 0.000 41825 41254 29.6 53.1 0.0 0.541 0.544 493.4
2025-05-19 17:25:01 17:25 05-19-25 0C105000 25.144 0.000 41829 41256 29.4 53.1 0.0 0.537 0.541 493.4
2025-05-19 17:26:01 17:25 05-19-25 0C105000 25.144 0.000 41829 41256 29.4 53.1 0.0 0.537 0.541 493.4
2025-05-19 17:27:01 17:27 05-19-25 0C105000 25.301 0.000 41831 41256 29.3 53.1 0.0 0.538 0.541 493.4
2025-05-19 17:28:00 17:27 05-19-25 0C105000 25.301 0.000 41831 41256 29.3 53.1 0.0 0.538 0.541 493.4
2025-05-19 17:29:01 17:28 05-19-25 0C105000 25.097 0.000 41831 41256 29.3 53.1 0.0 0.542 0.545 493.1
2025-05-19 17:30:01 17:30 05-19-25 0C105000 24.936 0.000 41833 41256 29.2 53.1 0.0 0.540 0.543 493.4
2025-05-19 17:31:01 17:30 05-19-25 0C105000 24.936 0.000 41833 41256 29.2 53.1 0.0 0.540 0.543 493.4
2025-05-19 17:32:01 17:32 05-19-25 0C105000 23.702 0.000 41834 41256 29.1 53.1 0.0 0.539 0.542 493.4
2025-05-19 17:33:01 17:32 05-19-25 0C105000 23.702 0.000 41834 41256 29.1 53.1 0.0 0.539 0.542 493.4
2025-05-19 17:34:01 17:33 05-19-25 0C105000 21.801 0.000 41837 41259 29.0 53.1 0.0 0.540 0.543 493.4
2025-05-19 17:35:00 17:34 05-19-25 0C105000 25.289 0.000 41836 41258 29.0 53.1 0.0 0.543 0.546 493.1
2025-05-19 17:36:01 17:35 05-19-25 0C105000 25.025 0.000 41843 41262 29.0 53.1 0.0 0.538 0.541 493.4
2025-05-19 17:37:01 17:37 05-19-25 0C105000 22.784 0.000 41842 41262 28.9 53.1 0.0 0.543 0.545 493.4
2025-05-19 17:38:00 17:37 05-19-25 0C105000 22.784 0.000 41842 41262 28.9 53.1 0.0 0.543 0.545 493.4
2025-05-19 17:39:01 17:38 05-19-25 0C105000 23.738 0.000 41843 41264 28.9 53.1 0.0 0.538 0.542 493.1
2025-05-19 17:40:00 17:39 05-19-25 0C105000 22.401 0.000 41843 41266 28.9 53.1 0.0 0.541 0.543 493.1
2025-05-19 17:41:01 17:40 05-19-25 0C105000 21.572 0.000 41846 41266 28.9 53.1 0.0 0.537 0.541 493.4
2025-05-19 17:42:01 17:42 05-19-25 0C105000 22.885 0.000 41847 41267 28.9 53.1 0.0 0.539 0.543 493.4
2025-05-19 17:43:01 17:42 05-19-25 0C105000 22.885 0.000 41847 41267 28.9 53.1 0.0 0.539 0.543 493.4
2025-05-19 17:44:01 17:44 05-19-25 0C105000 23.289 0.000 41852 41271 28.9 53.1 0.0 0.540 0.545 493.1
2025-05-19 17:45:00 17:44 05-19-25 0C105000 23.289 0.000 41852 41271 28.9 53.1 0.0 0.540 0.545 493.1
2025-05-19 17:46:01 17:45 05-19-25 0C105000 24.878 0.000 41848 41267 28.9 53.1 0.0 0.541 0.544 493.4
2025-05-19 17:47:01 17:47 05-19-25 0C105000 24.003 0.000 41848 41269 28.9 53.1 0.0 0.538 0.542 493.4
2025-05-19 17:48:01 17:47 05-19-25 0C105000 24.003 0.000 41848 41269 28.9 53.1 0.0 0.538 0.542 493.4
2025-05-19 17:49:01 17:49 05-19-25 0C105000 25.489 0.000 41849 41269 28.9 53.1 0.0 0.538 0.541 493.4
2025-05-19 17:50:00 17:49 05-19-25 0C105000 25.489 0.000 41849 41269 28.9 53.1 0.0 0.538 0.541 493.4
2025-05-19 17:51:01 17:50 05-19-25 0C105000 24.401 0.000 41848 41267 28.9 53.1 0.0 0.542 0.545 493.4
2025-05-19 17:52:00 17:51 05-19-25 0C105000 25.132 0.000 41852 41271 28.9 53.1 0.0 0.537 0.541 493.4
2025-05-19 17:53:01 17:52 05-19-25 0C105000 24.346 0.000 41854 41272 28.9 53.1 0.0 0.543 0.547 493.4
2025-05-19 17:54:01 17:54 05-19-25 0C105000 25.099 0.000 41849 41269 28.9 53.1 0.0 0.537 0.541 493.4
2025-05-19 17:55:01 17:54 05-19-25 0C105000 25.099 0.000 41849 41269 28.9 53.1 0.0 0.537 0.541 493.4
2025-05-19 17:56:01 17:55 05-19-25 0C105000 23.943 0.000 41850 41270 28.9 53.1 0.0 0.542 0.545 493.4
2025-05-19 17:57:01 17:56 05-19-25 0C105000 23.630 0.000 41849 41268 29.0 53.1 0.0 0.541 0.544 493.4
2025-05-19 17:58:01 17:58 05-19-25 0C105000 23.403 0.000 41852 41272 29.0 53.1 0.0 0.539 0.542 493.4
2025-05-19 17:59:01 17:58 05-19-25 0C105000 23.403 0.000 41852 41272 29.0 53.1 0.0 0.539 0.542 493.4
2025-05-19 18:00:01 17:59 05-19-25 0C105000 23.425 0.000 41850 41271 29.0 53.1 0.0 0.538 0.541 493.4
