pcdate pctime time date flags o3 hio3 cellai cellbi bncht lmpt o3lt flowa flowb pres
2025-05-18 17:01:29 17:01 05-18-25 0C105000 25.017 0.000 41895 41303 29.5 53.1 0.0 0.542 0.545 493.7
2025-05-18 17:02:01 17:01 05-18-25 0C105000 25.017 0.000 41895 41303 29.5 53.1 0.0 0.542 0.545 493.7
2025-05-18 17:03:01 17:02 05-18-25 0C105000 25.530 0.000 41894 41302 29.5 53.1 0.0 0.540 0.543 493.7
2025-05-18 17:04:00 17:03 05-18-25 0C105000 26.308 0.000 41892 41298 29.5 53.1 0.0 0.540 0.542 493.7
2025-05-18 17:05:01 17:04 05-18-25 0C105000 26.266 0.000 41893 41301 29.6 53.1 0.0 0.537 0.541 493.7
2025-05-18 17:06:01 17:05 05-18-25 0C105000 25.322 0.000 41893 41302 29.6 53.1 0.0 0.537 0.541 493.7
2025-05-18 17:07:01 17:06 05-18-25 0C105000 24.907 0.000 41889 41299 29.6 53.1 0.0 0.542 0.546 493.7
2025-05-18 17:08:01 17:07 05-18-25 0C105000 23.645 0.000 41889 41299 29.6 53.1 0.0 0.538 0.541 493.4
2025-05-18 17:09:00 17:08 05-18-25 0C105000 23.775 0.000 41885 41295 29.6 53.1 0.0 0.543 0.546 493.7
2025-05-18 17:10:01 17:09 05-18-25 0C105000 24.493 0.000 41887 41296 29.6 53.1 0.0 0.543 0.547 493.7
2025-05-18 17:11:00 17:10 05-18-25 0C105000 24.622 0.000 41887 41296 29.6 53.1 0.0 0.538 0.541 493.7
2025-05-18 17:12:01 17:11 05-18-25 0C105000 25.605 0.000 41885 41296 29.6 53.1 0.0 0.540 0.543 493.7
2025-05-18 17:13:01 17:12 05-18-25 0C105000 25.696 0.000 41889 41299 29.6 53.1 0.0 0.537 0.541 493.7
2025-05-18 17:14:00 17:13 05-18-25 0C105000 26.467 0.000 41889 41299 29.6 53.1 0.0 0.538 0.541 493.7
2025-05-18 17:15:01 17:14 05-18-25 0C105000 26.995 0.000 41892 41303 29.6 53.1 0.0 0.544 0.545 493.7
2025-05-18 17:16:01 17:15 05-18-25 0C105000 27.586 0.000 41895 41306 29.5 53.1 0.0 0.544 0.546 493.7
2025-05-18 17:17:01 17:16 05-18-25 0C105000 28.296 0.000 41898 41308 29.5 53.1 0.0 0.541 0.543 493.7
2025-05-18 17:18:01 17:17 05-18-25 0C105000 28.044 0.000 41896 41306 29.4 53.1 0.0 0.539 0.541 493.7
2025-05-18 17:19:00 17:18 05-18-25 0C105000 26.923 0.000 41900 41308 29.3 53.1 0.0 0.541 0.545 493.7
2025-05-18 17:20:01 17:19 05-18-25 0C105000 27.207 0.000 41900 41308 29.3 53.1 0.0 0.540 0.542 493.7
2025-05-18 17:21:00 17:20 05-18-25 0C105000 26.140 0.000 41900 41307 29.2 53.1 0.0 0.543 0.546 493.7
2025-05-18 17:22:01 17:21 05-18-25 0C105000 26.341 0.000 41904 41310 29.2 53.1 0.0 0.543 0.545 493.7
2025-05-18 17:23:01 17:22 05-18-25 0C105000 25.966 0.000 41906 41311 29.1 53.1 0.0 0.538 0.540 493.7
2025-05-18 17:24:01 17:23 05-18-25 0C105000 26.262 0.000 41904 41308 29.1 53.1 0.0 0.539 0.543 493.7
2025-05-18 17:25:01 17:24 05-18-25 0C105000 25.799 0.000 41905 41309 29.0 53.1 0.0 0.539 0.543 493.7
2025-05-18 17:26:00 17:25 05-18-25 0C105000 25.805 0.000 41904 41307 29.0 53.1 0.0 0.542 0.545 493.7
2025-05-18 17:27:01 17:26 05-18-25 0C105000 25.415 0.000 41908 41310 29.0 53.1 0.0 0.541 0.543 493.4
2025-05-18 17:28:01 17:27 05-18-25 0C105000 25.127 0.000 41907 41309 28.9 53.1 0.0 0.544 0.546 493.7
2025-05-18 17:29:01 17:28 05-18-25 0C105000 25.771 0.000 41911 41313 28.9 53.1 0.0 0.540 0.543 493.7
2025-05-18 17:30:01 17:29 05-18-25 0C105000 26.278 0.000 41913 41314 28.9 53.1 0.0 0.539 0.543 493.7
2025-05-18 17:31:00 17:30 05-18-25 0C105000 25.544 0.000 41916 41318 28.9 53.1 0.0 0.540 0.542 493.7
2025-05-18 17:32:01 17:31 05-18-25 0C105000 24.298 0.000 41915 41317 28.9 53.1 0.0 0.539 0.542 493.7
2025-05-18 17:33:00 17:32 05-18-25 0C105000 24.224 0.000 41915 41315 28.8 53.1 0.0 0.538 0.542 493.7
2025-05-18 17:34:01 17:33 05-18-25 0C105000 24.890 0.000 41913 41313 28.8 53.1 0.0 0.537 0.541 493.7
