pcdate pctime time date flags o3 hio3 cellai cellbi bncht lmpt o3lt flowa flowb pres
2025-05-17 16:01:23 16:01 05-17-25 0C105000 34.509 0.000 42003 41391 28.9 53.1 0.0 0.543 0.547 493.4
2025-05-17 16:02:01 16:01 05-17-25 0C105000 34.509 0.000 42003 41391 28.9 53.1 0.0 0.543 0.547 493.4
2025-05-17 16:03:00 16:02 05-17-25 0C105000 34.701 0.000 42002 41391 28.8 53.1 0.0 0.541 0.544 493.4
2025-05-17 16:04:01 16:03 05-17-25 0C105000 34.094 0.000 42006 41393 28.8 53.1 0.0 0.540 0.542 493.4
2025-05-17 16:05:01 16:04 05-17-25 0C105000 34.835 0.000 42004 41390 28.8 53.1 0.0 0.540 0.544 493.4
2025-05-17 16:06:00 16:05 05-17-25 0C105000 35.569 0.000 42005 41393 28.8 53.1 0.0 0.537 0.540 493.4
2025-05-17 16:07:01 16:06 05-17-25 0C105000 34.678 0.000 42005 41392 28.8 53.1 0.0 0.540 0.541 493.4
2025-05-17 16:08:00 16:07 05-17-25 0C105000 34.054 0.000 42006 41392 28.8 53.1 0.0 0.537 0.540 493.4
2025-05-17 16:09:01 16:08 05-17-25 0C105000 34.642 0.000 42004 41391 28.8 53.1 0.0 0.539 0.544 493.4
2025-05-17 16:10:01 16:09 05-17-25 0C105000 35.005 0.000 42005 41391 28.8 53.1 0.0 0.536 0.540 493.4
2025-05-17 16:11:01 16:10 05-17-25 0C105000 34.973 0.000 42005 41393 28.9 53.1 0.0 0.542 0.545 493.4
2025-05-17 16:12:01 16:11 05-17-25 0C105000 35.211 0.000 42002 41389 28.9 53.1 0.0 0.541 0.543 493.4
2025-05-17 16:13:00 16:12 05-17-25 0C105000 35.548 0.000 42002 41390 28.9 53.1 0.0 0.541 0.544 493.4
2025-05-17 16:14:01 16:13 05-17-25 0C105000 35.562 0.000 42006 41393 28.9 53.1 0.0 0.539 0.543 493.4
2025-05-17 16:15:00 16:14 05-17-25 0C105000 35.318 0.000 42007 41393 28.9 53.1 0.0 0.544 0.546 493.4
2025-05-17 16:16:01 16:15 05-17-25 0C105000 36.231 0.000 42006 41393 28.9 53.1 0.0 0.539 0.542 493.4
2025-05-17 16:17:01 16:16 05-17-25 0C105000 37.162 0.000 42000 41387 29.0 53.1 0.0 0.539 0.541 493.4
2025-05-17 16:18:00 16:17 05-17-25 0C105000 38.459 0.000 42001 41390 29.0 53.1 0.0 0.541 0.544 493.4
2025-05-17 16:19:01 16:18 05-17-25 0C105000 35.640 0.000 42003 41391 29.0 53.1 0.0 0.545 0.547 493.4
2025-05-17 16:20:01 16:19 05-17-25 0C105000 36.354 0.000 42002 41390 29.0 53.1 0.0 0.543 0.546 493.4
2025-05-17 16:21:01 16:20 05-17-25 0C105000 37.307 0.000 41999 41387 29.1 53.1 0.0 0.543 0.546 493.4
2025-05-17 16:22:01 16:21 05-17-25 0C105000 39.190 0.000 41997 41385 29.1 53.1 0.0 0.537 0.541 493.4
2025-05-17 16:23:01 16:22 05-17-25 0C105000 37.065 0.000 41998 41388 29.1 53.1 0.0 0.539 0.541 493.4
2025-05-17 16:24:01 16:23 05-17-25 0C105000 36.050 0.000 42000 41390 29.2 53.1 0.0 0.537 0.540 493.4
2025-05-17 16:25:00 16:24 05-17-25 0C105000 35.809 0.000 41998 41388 29.2 53.1 0.0 0.540 0.542 493.7
2025-05-17 16:26:01 16:25 05-17-25 0C105000 35.791 0.000 41996 41387 29.2 53.1 0.0 0.540 0.542 493.4
2025-05-17 16:27:01 16:26 05-17-25 0C105000 36.346 0.000 41992 41381 29.2 53.1 0.0 0.538 0.542 493.4
2025-05-17 16:28:01 16:27 05-17-25 0C105000 37.888 0.000 41994 41385 29.3 53.1 0.0 0.539 0.541 493.4
2025-05-17 16:29:01 16:28 05-17-25 0C105000 36.245 0.000 41990 41381 29.3 53.1 0.0 0.537 0.541 493.4
2025-05-17 16:30:00 16:29 05-17-25 0C105000 34.501 0.000 41988 41380 29.3 53.1 0.0 0.543 0.546 493.4
2025-05-17 16:31:01 16:30 05-17-25 0C105000 34.147 0.000 41984 41377 29.4 53.1 0.0 0.539 0.541 493.4
2025-05-17 16:32:00 16:31 05-17-25 0C105000 36.022 0.000 41991 41383 29.4 53.1 0.0 0.538 0.541 493.4
2025-05-17 16:33:01 16:32 05-17-25 0C105000 37.496 0.000 41993 41385 29.3 53.1 0.0 0.538 0.541 493.4
2025-05-17 16:34:01 16:33 05-17-25 0C105000 38.858 0.000 41993 41387 29.3 53.1 0.0 0.538 0.541 493.4
2025-05-17 16:35:01 16:34 05-17-25 0C105000 38.357 0.000 41997 41389 29.3 53.1 0.0 0.540 0.542 493.4
2025-05-17 16:36:01 16:35 05-17-25 0C105000 39.420 0.000 41997 41390 29.2 53.1 0.0 0.542 0.544 493.4
2025-05-17 16:37:00 16:36 05-17-25 0C105000 38.398 0.000 41998 41390 29.2 53.1 0.0 0.542 0.545 493.4
2025-05-17 16:38:01 16:37 05-17-25 0C105000 39.199 0.000 42001 41393 29.1 53.1 0.0 0.540 0.543 493.4
2025-05-17 16:39:01 16:38 05-17-25 0C105000 38.688 0.000 42003 41394 29.1 53.1 0.0 0.545 0.548 493.4
2025-05-17 16:40:00 16:39 05-17-25 0C105000 36.978 0.000 42003 41394 29.0 53.1 0.0 0.538 0.541 493.1
2025-05-17 16:41:01 16:40 05-17-25 0C105000 37.692 0.000 42001 41392 29.0 53.1 0.0 0.541 0.543 493.4
2025-05-17 16:42:00 16:41 05-17-25 0C105000 37.206 0.000 42004 41395 28.9 53.1 0.0 0.543 0.547 493.4
2025-05-17 16:43:01 16:42 05-17-25 0C105000 37.018 0.000 42005 41393 28.9 53.1 0.0 0.544 0.545 493.4
2025-05-17 16:44:01 16:43 05-17-25 0C105000 37.730 0.000 42001 41390 28.9 53.1 0.0 0.543 0.546 493.4
2025-05-17 16:45:01 16:44 05-17-25 0C105000 38.781 0.000 42000 41389 28.9 53.1 0.0 0.539 0.543 493.4
2025-05-17 16:46:01 16:45 05-17-25 0C105000 38.084 0.000 42004 41392 28.9 53.1 0.0 0.541 0.543 493.4
2025-05-17 16:47:00 16:46 05-17-25 0C105000 38.280 0.000 42005 41392 28.9 53.1 0.0 0.540 0.542 493.4
2025-05-17 16:48:01 16:47 05-17-25 0C105000 39.130 0.000 42003 41392 28.9 53.1 0.0 0.537 0.541 493.4
2025-05-17 16:49:01 16:48 05-17-25 0C105000 39.645 0.000 42008 41395 28.9 53.1 0.0 0.541 0.544 493.4
2025-05-17 16:50:01 16:49 05-17-25 0C105000 39.958 0.000 42007 41395 28.9 53.1 0.0 0.540 0.541 493.4
2025-05-17 16:51:01 16:50 05-17-25 0C105000 38.105 0.000 42006 41394 28.9 53.1 0.0 0.540 0.542 493.4
2025-05-17 16:52:01 16:51 05-17-25 0C105000 38.218 0.000 42005 41393 28.9 53.1 0.0 0.540 0.544 493.4
2025-05-17 16:53:01 16:52 05-17-25 0C105000 38.873 0.000 42005 41394 28.9 53.1 0.0 0.539 0.542 493.4
2025-05-17 16:54:00 16:53 05-17-25 0C105000 38.568 0.000 42008 41395 28.9 53.1 0.0 0.538 0.541 493.4
2025-05-17 16:55:01 16:54 05-17-25 0C105000 38.890 0.000 42010 41398 28.9 53.1 0.0 0.540 0.544 493.4
2025-05-17 16:56:01 16:55 05-17-25 0C105000 39.752 0.000 42005 41393 28.9 53.1 0.0 0.538 0.541 493.4
2025-05-17 16:57:01 16:56 05-17-25 0C105000 39.973 0.000 42003 41391 28.9 53.1 0.0 0.539 0.541 493.4
2025-05-17 16:58:01 16:57 05-17-25 0C105000 39.635 0.000 42005 41394 28.9 53.1 0.0 0.544 0.547 493.4
2025-05-17 16:59:00 16:58 05-17-25 0C105000 38.461 0.000 42006 41395 28.9 53.1 0.0 0.542 0.545 493.4
2025-05-17 17:00:01 16:59 05-17-25 0C105000 37.837 0.000 42007 41395 29.0 53.1 0.0 0.539 0.542 493.4
